reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
833/6,212,38051,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (21).JPG,0.7105191176,0.00,-730,-1777,97,335,1361,162,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (21).JPG,277.4,2307.6,1915.5,228.0
833/6,213,38052,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (22).JPG,0.9084365550,0.00,-361,-547,28,207,1721,242,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (22).JPG,208.9,665.5,1894.5,266.4
833/6,214,38053,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (23).JPG,0.7105191176,0.00,-1738,-732,438,377,1350,168,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (23).JPG,2176.0,895.9,1900.0,236.4
833/6,216,38055,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (28).JPG,0.8597281324,0.00,-656,-1677,60,364,1493,233,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (28).JPG,477.8,2107.7,1736.6,271.0
833/6,217,38056,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (50).JPG,1.0402710401,0.00,-426,-35,36,547,1780,217,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (50).JPG,528.4,622.6,1711.1,208.6
833/6,218,38057,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (54).JPG,0.8993521894,0.00,-628,-2168,13,42,1564,435,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (54).JPG,469.2,2274.7,1739.0,483.7
833/6,219,38058,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (55).JPG,0.7581028065,0.00,-2126,-2324,13,42,1359,226,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (55).JPG,2127.2,2600.2,1792.6,298.1
833/6,220,38059,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (66).JPG,0.9457009456,0.00,-2085,-493,99,472,1738,266,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (66).JPG,2184.5,926.7,1837.8,281.3
833/6,222,38061,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (70).JPG,0.7947490918,180.00,-1902,-959,269,436,1372,149,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (70).JPG,2169.7,1333.8,1726.3,187.5
833/6,221,38060,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (81).JPG,0.7544295102,180.00,-583,-1804,158,579,1407,114,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (81).JPG,273.9,2627.5,1865.0,151.1
834/10,349,38185,E 190_834_10 Southampton Customer and Controller Coastal 1684 (3).JPG,0.9587137906,-3.00,-1826,-724,77,357,1738,265,834_10/E 190_834_10 Southampton Customer and Controller Coastal 1684 (3).JPG,1902.6,1070.9,1812.8,276.4
834/10,350,38186,E 190_834_10 Southampton Customer and Controller Coastal 1684 (6).JPG,0.7446548344,0.00,-1561,-896,294,363,1395,178,834_10/E 190_834_10 Southampton Customer and Controller Coastal 1684 (6).JPG,1843.9,1258.5,1873.4,239.0
834/10,351,38187,E 190_834_10 Southampton Customer and Controller Coastal 1684 (7).JPG,0.8878054107,0.00,-117,-1456,125,361,1581,208,834_10/E 190_834_10 Southampton Customer and Controller Coastal 1684 (7).JPG,35.3,1882.0,1780.8,234.3
834/10,352,38188,E 190_834_10 Southampton Customer and Controller Coastal 1684 (16).JPG,1.0013845536,-3.00,51,11,72,308,1739,198,834_10/E 190_834_10 Southampton Customer and Controller Coastal 1684 (16).JPG,23.5,298.4,1736.6,197.7
